differential,pfs1,pfs2,pfs3,pfs4,pfs5,pfs6,pfs7,pfs8,pfs9,pfs10,pfs11,pfs12,pfs13,pfs14,pfs15,pfs16
viroflay,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
resistoflay,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
califlay,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0
clermont,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1
campania,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0
boeing,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
lion,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lazio,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
whale,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
pigeon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
caladonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
meerkat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
