mrna_id,Pfs15,Nl0539,F-0543,Pfs16,Us1322,Es1314,Pfs5,Us1509,Pfs8,Pfs2,Pfs13,Pfs7,Pfs4,Pfs9,Pfs6,Pfs12,Us1324,A0340,Pfs11,Pfs14,Us1135,Pfs10,Pfs3,Pfs1
00c790e3-77d9-4874-b3e4-611f04f3a3c3,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017c3a83-c569-46b0-9b97-50708846c568,1.0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
0253b757-5331-40e0-8c09-6ca0b21e8bd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
0336cdc5-3953-4e89-9f29-748670d0f8c9,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,0,0,0,0
041da428-b3f6-4ec6-b700-f70ea10c4f41,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,0
0451203f-74dc-41dd-96dc-bb3951b41899,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05521e93-1104-4910-a6c9-c4211fa409ed,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
055dd4d9-48fe-4333-9c86-a8de2d95ba95,1.0,0,0,1.0,0,1.0,0,1.0,1.0,0,0,0,0,1.0,0,0,1.0,1.0,0,1.0,0,1.0,0,0
06618eac-eb40-48c5-bf17-bd47cbcb8582,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08f62134-981c-41ca-8f93-f5ab033ed374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0
0aa14a83-58dc-4b6b-a0a8-e4248d3ec165,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0,1.0,0,0,0,1.0,1.0,1.0,0,0,0
0c9f2791-611b-46b0-8c0b-c284defa38a4,0,0,1.0,0,0,1.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,1.0,0,0,0
0d369966-613d-4dab-b927-a5b36c7ad156,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0f37b394-09a5-481b-b613-6aa028af9fcb,1.0,0,1.0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
139c4b15-094d-4c51-a275-c1df3f0ace59,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14765952-c788-4ac4-aac0-aa264302ff6f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
14cee38f-f129-4ba9-adc1-3abc68cb3a1c,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14f243be-42e4-427d-bbe1-a717191f9a05,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0
15bb0c35-31a8-4ffb-be22-0d68008005e7,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
17697810-bedd-4f7f-9546-644254ba1603,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17706213-89ec-4f83-bc7e-b89444bc27bd,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0
18c22cbc-6178-41a7-8835-4de676a7a8f0,1.0,0,1.0,0,1.0,0,0,0,0,0,1.0,0,1.0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0
1a392a51-717b-4b81-9acb-8267a6c39c4c,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,1.0,1.0,0,0,1.0,0,0,0,0
1b16b4d0-a475-4769-b28d-fe37af371b01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
1c01660c-d8e9-4d67-8e52-ac640d6dd088,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1f3808dc-d4c4-4536-bf7d-5418679fbfb7,1.0,0,0,0,1.0,0,1.0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0
1f3e832c-b7a4-47c0-96ce-a688608930e7,1.0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,0,1.0,0,0,0
22d06c23-00dd-4806-a7d0-fa28cc9cc156,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,1.0,0,1.0,0,0,1.0,0,1.0,0,0
2ba7d1ef-f491-48ab-812b-d9185584a884,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c8b8c3b-9aca-4b00-b6c4-cc4c61379b1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
2e0479f9-ffa7-4e40-8627-5e43a7f9d977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,0
2fe29d50-5ca3-45e7-bf29-99b7e90ce932,1.0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
31248b47-69a4-4bca-9181-8e2348310dc6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
344eda98-965b-4db1-a518-2dfe34554c04,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
3975cefa-4ddf-4b52-b38a-d3c0f64f6c70,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
3a14af0c-b78f-4103-8f4f-1949a5f449ce,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a913bfa-e6ea-4b3c-b88c-79b92f8e8f62,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
3c56df89-7913-4b2b-aa25-c1a8e45662ea,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c9ab252-5368-45be-bfa6-e2772c09a489,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
435758bf-fd85-4d8f-a9f0-3f8e98cf6ce2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0
