,gene,resistoflay,califlay,clermont,campania,boeing,lion,lazio,whale,pigeon,caladonia,meerkat,Repeat region,Effector_x,Feature,Domains ,Interpro,Homologous,Accession,GO annotation,Extra,COI,TranscriptId,Query.name,Contigname,start,stop,strand,geneLenght,Effector_y,below1Kbp,repeatregion,Signalp,name,product,GOannotation,putative.effector,BUSCO.genename,contig_length
0,1f8b7e84-47bd-4a5c-83c3-b79ffe796de3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09069511279999999,0.0,1.4377227573,,,SNP,YlqF_related_GTPase superfamily,P-loop containing nucleoside triphosphate hydrolase,Large subunit GTPase 1 [Phytophthora nicotianae],RAW32286.1,,,,1f8b7e84-47bd-4a5c-83c3-b79ffe796de3,pfs1|10365-00001,Pb_51_length_78236_cov_35.1804_ID_101,62404,63856,-,462,,,,,Gnl1_0,Guanine nucleotide-binding protein-like 1,GO:0005525,,,78236
1,f81f464e-926d-446d-abc0-fe1d1f4a88fe,0.0,0.0,0.0,0.1353712588,0.0,0.0,0.0,0.0,0.1000534186,0.0,1.4358049336,,,SNP,,Aldehyde/histidinol dehydrogenase,Aldehyde dehydrogenase [Phytophthora cactorum],RAW28850.1,,,,f81f464e-926d-446d-abc0-fe1d1f4a88fe,pfs1|8937-00001,Pb_402_length_18293_cov_33.603_ID_803,14317,16287,+,416,,,,,ALTA10,Aldehyde dehydrogenase,GO:0005515|GO:0008152|GO:0016491|GO:0016620|GO:0055114|GO:0008152|GO:0016491|GO:0055114,,,18293
2,33f85df8-e7f7-4687-b6ab-487bc09144e4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1084290546,0.0,1.2802036064,,,SNP,,RNase P subunit p30,Ribonuclease P protein subunit p30 [Phytophthora megakarya],OWY95064.1,,,,33f85df8-e7f7-4687-b6ab-487bc09144e4,pfs1|10680-00001,Pb_55_length_73783_cov_40.74_ID_109,6572,7640,+,269,,,,,RPP30,Ribonuclease P protein subunit p30,GO:0003824|GO:0004540|GO:0008033,,,73783
3,0ebb71a2-7050-4fc9-b4f6-cb5e347ec33b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08925547660000001,0.0,1.1023403629000001,,,SNP,,Peptidase S1,Serine protease [Phytophthora megakarya],OWZ22003.1,,,,0ebb71a2-7050-4fc9-b4f6-cb5e347ec33b,pfs1|2905-00001,Pb_16_length_112068_cov_37.6118_ID_31,47747,49146,+,368,,,,,DEGP14,Putative protease Do-like 14,GO:0003824|GO:0004252|GO:0006508|GO:0005515,,,112068
4,ae260977-731b-4e48-9eb1-4ae87bd5aeb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325438596,0.0,1.0604329788,,,SNP,,,Histone-lysine N-methyltransferase EZH2 [Phytophthora nicotianae],KUF95677.1,,,,ae260977-731b-4e48-9eb1-4ae87bd5aeb1,pfs1|623-00001,Pb_113_length_54746_cov_33.5477_ID_225,14776,19255,-,1492,,,,,XI-K,Myosin-17,GO:0003774|GO:0005524|GO:0016459|GO:0005515|GO:0046872,,,54746
5,11697b58-7b88-4860-a77a-834ee5b6395e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0130865404,0.0628363095,1.0058182448000001,1.0537785362999998,,,SNP,Motor_domain superfamily / Ysc0,Myosin head,Myosin-17 [Phytophthora cactorum],RAW36483.1,,,,11697b58-7b88-4860-a77a-834ee5b6395e,pfs1|5904-00001,Pb_2636_length_1265_cov_29.1358_ID_5271,215,842,-,208,,,,,,,,,,1265
6,7e501445-0ae3-4adb-84c6-5e5329f21c56,0.0,0.0417573246,0.0,0.0,0.0,0.0,0.0,0.0,0.0788513468,0.0,1.0279487091,,,SNP,,,,,,No RNAseq + repeat,,7e501445-0ae3-4adb-84c6-5e5329f21c56,pfs1|4118-00001,Pb_2017_length_2115_cov_126.489_ID_4033,23,929,+,301,,,,,,,,,,2115
7,e1793a05-256f-48be-b6cf-18dbef0a6b83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.9791835555,,,,,,,,,,,e1793a05-256f-48be-b6cf-18dbef0a6b83,pfs1|12609-00001,Pb_844_length_6280_cov_62.8586_ID_1687,2923,3145,+,73,,,inside repeat region,,,,,,,6280
8,74549717-98d3-4a0a-802b-540c5376c963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07742298610000001,0.0,0.8608177290000001,,,,,,,,,,,74549717-98d3-4a0a-802b-540c5376c963,pfs1|4802-00001,Pb_2232_length_1868_cov_39.2091_ID_4463,344,1150,-,243,,,,,,,,,,1868
9,e49686b1-af4b-4255-b1a3-927dff7148e3,0.0,0.42866967520000004,0.0,0.0,0.0,0.0,0.0,0.0488249572,0.057283308399999996,0.0,0.8015211955,,,,,,,,,,,e49686b1-af4b-4255-b1a3-927dff7148e3,pfs1|3236-00001,Pb_17_length_111491_cov_36.3361_ID_33,39882,40536,+,217,,,,,yvbH_1,Uncharacterized protein YvbH,,,,111491
